code,label,source,n_pairs,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
C1_diabetes_with_cc_mean_spo2_min_high,Cluster 1 | diabetes with cc > 0 and spo2 min > mediana_cluster (92),comorb_lab_vital,151,0.5629139072847682,0.5298013245033113,0.033112582781456956,-0.07947019867549669,0.1390728476821192,0.6408977556109726,0.868,-0.024793388429752067,0.09090909090909091,7.208609271523179,7.0,0.7454110705204844,3.31,-7.95,13.91,3.31,False
C1_cerebrovascular_disease_mean_dbp_std_high,Cluster 1 | cerebrovascular disease > 0 and dbp std > mediana_cluster (8.76),comorb_lab_vital,212,0.5235849056603774,0.49056603773584906,0.0330188679245283,-0.05660377358490566,0.10849056603773585,0.5386533665835411,0.912,-0.011764705882352941,0.0869117647058824,7.533490566037735,7.2,0.6593170538999036,3.3,-5.66,10.85,3.3,False
C1_diabetes_without_cc_mean_sodium_median_high_hb_med,Cluster 1 | diabetes without cc > 0 and sodium median > mediana_cluster (138) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,182,0.5494505494505495,0.5164835164835165,0.03296703296703297,-0.06057692307692307,0.13749999999999987,0.6683291770573566,0.876,-0.02054794520547945,0.08904109589041095,6.664835164835165,6.8,0.7662027311936541,3.3,-6.06,13.75,3.3,False
C1_congestive_heart_failure_mean_platelets_mean_high,Cluster 1 | congestive heart failure > 0 and platelets mean > mediana_cluster (180),comorb_lab_vital,488,0.5286885245901639,0.4959016393442623,0.03278688524590164,-0.03488729508196721,0.09631147540983606,0.34413965087281795,0.972,0.0005769230769230783,0.06352564102564104,7.632581967213114,7.4,0.46645150486050746,3.28,-3.49,9.63,3.28,False
C1_congestive_heart_failure_mean_platelets_pre_mean_high,Cluster 1 | congestive heart failure > 0 and platelets pre mean > mediana_cluster (180),comorb_lab_vital,488,0.5286885245901639,0.4959016393442623,0.03278688524590164,-0.03283811475409836,0.09016393442622951,0.3341645885286783,0.972,0.0005769230769230783,0.06865384615384618,7.632581967213114,7.4,0.4568969281864463,3.28,-3.28,9.02,3.28,False
C2_diabetes_with_cc_mean_glucose_vital_median_high_hb_med,Cluster 2 | diabetes with cc > 0 and glucose vital median > mediana_cluster (118) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,305,0.380327868852459,0.4131147540983607,-0.03278688524590164,-0.105,0.04918032786885246,0.48877805486284287,0.936,-0.06967213114754098,0.00819672131147541,7.306885245901639,7.3,0.6113846917276791,-3.28,-10.5,4.92,3.28,False
C1_congestive_heart_failure_mean_creatinine_slope_high,Cluster 1 | congestive heart failure > 0 and creatinine slope > mediana_cluster (1.25e-05),comorb_lab_vital,520,0.5403846153846154,0.5076923076923077,0.032692307692307694,-0.032692307692307694,0.09620192307692303,0.32169576059850374,0.98,0.004807692307692308,0.06490384615384616,7.621538461538461,7.4,0.4437337618297353,3.27,-3.27,9.62,3.27,False
C1_congestive_heart_failure_mean_mbp_max_high_hb_med,Cluster 1 | congestive heart failure > 0 and mbp max > mediana_cluster (100) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,214,0.5467289719626168,0.514018691588785,0.03271028037383177,-0.06542056074766354,0.12628504672897184,0.5561097256857855,0.876,-0.017543859649122806,0.08187134502923976,6.710747663551402,6.8,0.6770527517889723,3.27,-6.54,12.63,3.27,False
C1_cerebrovascular_disease_mean_spo2_min_high_hb_med,Cluster 1 | cerebrovascular disease > 0 and spo2 min > mediana_cluster (92) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,153,0.5294117647058824,0.5620915032679739,-0.032679738562091505,-0.13725490196078433,0.0720588235294116,0.6059850374064838,0.836,-0.08196721311475409,0.02459016393442623,6.654901960784314,6.7,0.718034187693705,-3.27,-13.73,7.21,3.27,False
C1_diabetes_without_cc_mean_glucose_vital_mean_high_hb_med,Cluster 1 | diabetes without cc > 0 and glucose vital mean > mediana_cluster (134) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,275,0.5418181818181819,0.5745454545454546,-0.03272727272727273,-0.12009090909090908,0.05463636363636355,0.5810473815461347,0.92,-0.07170454545454545,0.013636363636363636,6.752727272727273,6.8,0.6957092740304204,-3.27,-12.01,5.46,3.27,False
