code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,feature,feature_base,axis,op,thr,q
R268,lactate_delta <= q0.35 (-0.06413),1,lactate_delta,"perfusion,perfusion",1,4429,0.34998024496246544,0.3400316098442086,0.434183788665613,-0.09415217882140442,-0.11434459792591249,-0.07395975971689635,6.303961957139578e-20,62.658964696622355,8.671934974034771,8.1,lactate_delta,lactate,perfusion,<=,-0.06412941732544974,0.35
R350,mbp_median <= q0.20 (68),1,mbp_median,"perfusion,perfusion",1,2750,0.21730541288028446,0.528,0.4087272727272727,0.11927272727272731,0.09308608996417475,0.14545936458127987,4.36746627876324e-19,62.54714585451087,8.759454545454545,7.9,mbp_median,mbp,perfusion,<=,68.0,0.2
R407,platelets_slope <= q0.20 (-0.2575),1,platelets_slope,"organ_failure,organ_failure",1,2500,0.19755037534571315,0.322,0.4468,-0.12479999999999997,-0.15154479460093867,-0.09805520539906126,5.907847115255811e-20,62.399999999999984,8.46264,8.1,platelets_slope,platelets,organ_failure,<=,-0.25748044947085835,0.2
R359,mbp_std <= q0.35 (7.214),1,mbp_std,"perfusion,perfusion",1,4429,0.34998024496246544,0.3422894558591104,0.4353127116730639,-0.09302325581395349,-0.11323423598999124,-0.07281227563791573,1.8618409713346646e-19,61.90765816548777,10.335222397832467,9.4,mbp_std,mbp,perfusion,<=,7.213862751789131,0.35
R427,potassium_std <= q0.35 (0.04242),1,potassium_std,"other,other",1,4429,0.34998024496246544,0.3267103183562881,0.4195077895687514,-0.09279747121246329,-0.11284792505656013,-0.07274701736836645,1.1763973366199547e-19,61.75739685926084,11.449762926168436,14.0,potassium_std,potassium,other,<=,0.04241825029957641,0.35
R627,temperature_std <= q0.35 (0.1001),1,temperature_std,"metabolic,metabolic",1,4429,0.34998024496246544,0.33054865658162114,0.42244298938812375,-0.09189433280650261,-0.11198323916472754,-0.07180542644827768,3.080677648483026e-19,61.156351634353214,10.231745314969519,9.2,temperature_std,temperature,metabolic,<=,0.10011775686850695,0.35
R451,ptt_mean <= q0.20 (29.2),1,ptt_mean,"organ_failure,organ_failure",1,2531,0.2,0.305807981035164,0.4271039114974318,-0.12129593046226783,-0.14763233679821242,-0.09495952412632325,1.763638707226273e-19,61.02282413320135,8.158672461477677,7.8,ptt_mean,ptt,organ_failure,<=,29.202463113520025,0.2
R408,platelets_slope <= q0.35 (-0.07924),1,platelets_slope,"organ_failure,organ_failure",1,4372,0.34547609640458316,0.3334858188472095,0.42520585544373285,-0.09172003659652334,-0.11197003813095391,-0.07147003506209276,6.832271204323693e-19,60.646298052895084,8.376418115279048,8.1,platelets_slope,platelets,organ_failure,<=,-0.0792355760734679,0.35
R49,any_vasopressor_slope > q0.50 (0),1,any_vasopressor_slope,"perfusion,perfusion",1,3261,0.25768470960094825,0.3455995093529592,0.4510886231217418,-0.10548911376878262,-0.129113667296703,-0.08186456024086222,2.0987426629593374e-18,60.23973367841298,8.635326586936522,8.2,any_vasopressor_slope,any_vasopressor,perfusion,>,0.0,0.5
R50,any_vasopressor_slope > q0.65 (0),1,any_vasopressor_slope,"perfusion,perfusion",1,3261,0.25768470960094825,0.3455995093529592,0.4510886231217418,-0.10548911376878262,-0.129113667296703,-0.08186456024086222,2.0987426629593374e-18,60.23973367841298,8.635326586936522,8.2,any_vasopressor_slope,any_vasopressor,perfusion,>,0.0,0.65
